	colA-1000	colA-1400	colA-600	colA-top	colB-1000	colB-1400	colB-1750	colB-600	colB-top	colC-1000	colC-1400	colC-1750	colC-600	colC-top
ASV_139	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_140	0	0	1	2	16	18	18	18	23	0	0	0	0	3
ASV_141	0	3	2	2	12	32	22	17	4	0	0	1	0	0
ASV_142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_144	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_145	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_146	22	27	21	13	0	0	0	0	0	3	3	0	1	0
ASV_147	0	0	0	0	20	13	21	19	17	0	0	0	0	0
ASV_148	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_149	14	14	15	10	7	5	8	6	9	0	0	0	0	0
ASV_150	0	1	2	2	12	7	14	6	12	2	2	2	13	13
ASV_151	0	0	0	0	17	16	15	10	30	0	0	0	0	0
ASV_152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_153	18	4	10	0	12	8	10	5	11	0	3	3	0	2
ASV_154	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_155	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_157	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_160	29	22	11	20	0	0	0	0	0	0	0	0	0	0
ASV_161	4	2	2	1	13	2	17	20	14	1	4	0	1	1
ASV_162	0	0	0	3	0	0	0	0	0	11	18	15	19	16
ASV_163	6	17	5	11	7	8	6	9	6	0	4	2	0	0
ASV_164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_165	11	2	0	6	1	4	5	2	0	7	10	7	7	17
ASV_166	6	11	2	6	6	10	11	11	8	3	0	3	0	1
ASV_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_168	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_169	0	0	0	0	9	14	24	16	14	0	0	0	0	0
ASV_170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_172	0	0	0	0	18	11	23	7	14	0	0	0	0	0
ASV_173	7	3	3	2	0	0	0	0	0	11	8	11	13	12
ASV_174	8	11	7	10	2	6	3	3	20	1	0	0	0	0
ASV_175	9	8	10	9	6	5	16	0	5	0	1	0	0	1
ASV_176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_177	0	0	0	0	6	14	13	19	16	0	0	0	0	0
ASV_178	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_179	8	16	5	22	0	6	0	10	0	0	0	0	0	0
ASV_180	0	0	0	0	4	0	0	5	0	7	8	6	18	19
ASV_181	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_183	19	24	11	7	0	3	0	0	0	0	0	0	0	0
ASV_184	19	13	12	8	0	9	1	0	2	0	0	0	0	0
ASV_185	10	8	2	1	0	0	0	0	0	11	7	6	8	10
ASV_186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_187	16	15	14	5	0	6	2	3	0	0	0	0	0	1
ASV_188	0	0	0	0	0	0	0	0	0	14	13	13	9	13
ASV_189	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_190	15	19	8	18	0	0	0	0	0	0	0	0	0	0
ASV_191	0	0	1	0	0	0	0	0	0	8	13	13	9	15
ASV_192	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_193	13	11	17	17	0	0	0	0	0	0	0	0	0	0
ASV_194	0	2	2	0	9	17	10	9	5	2	0	0	1	0
ASV_195	0	0	0	0	0	0	0	0	0	10	8	11	12	16
ASV_196	9	6	10	9	0	0	0	0	0	3	6	1	4	8
ASV_197	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_198	4	7	1	4	8	10	10	1	8	0	0	0	0	2
ASV_200	11	21	17	1	1	0	0	3	0	0	0	0	0	0
ASV_201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_203	0	3	5	1	2	6	11	10	5	2	1	0	1	4
ASV_204	0	0	0	1	0	0	10	0	0	7	10	3	9	9
ASV_205	18	13	11	5	0	0	0	1	2	0	0	0	0	0
ASV_206	7	7	4	6	0	8	4	4	4	0	0	0	0	5
ASV_207	11	7	14	11	0	0	0	2	3	0	0	0	0	0
ASV_208	4	2	3	0	6	8	11	2	10	0	0	0	0	1
ASV_209	3	0	4	0	3	3	3	0	3	9	6	6	3	4
ASV_210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_211	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_213	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_214	7	0	0	6	0	0	6	4	3	0	5	0	4	10
ASV_215	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_217	0	0	0	2	20	7	4	1	10	0	0	0	0	0
ASV_218	0	0	0	0	7	9	9	3	16	0	0	0	0	0
ASV_219	6	2	5	2	0	0	5	0	1	7	4	4	3	4
ASV_220	5	5	5	9	0	0	3	0	0	3	4	1	3	5
ASV_221	0	4	1	2	0	0	0	0	0	2	9	6	8	11
ASV_222	0	0	0	2	1	40	0	0	0	0	0	0	0	0
ASV_223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_224	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_225	8	17	7	8	1	0	0	0	0	0	0	0	0	0
ASV_226	2	1	2	2	2	5	4	5	10	0	1	2	1	2
ASV_227	16	10	4	10	0	0	0	0	0	0	0	0	0	0
ASV_228	13	17	4	6	0	0	0	0	0	0	0	0	0	0
ASV_229	0	7	0	0	5	9	11	6	2	0	0	0	0	0
ASV_230	3	0	1	0	2	5	3	2	2	0	8	7	2	4
ASV_231	0	0	0	0	9	10	8	8	4	0	0	0	0	0
ASV_232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_233	0	0	0	0	5	5	13	0	11	4	0	0	0	0
ASV_234	0	0	0	0	7	28	2	0	0	0	0	0	0	0
ASV_235	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_236	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_237	0	0	0	1	2	10	10	9	4	0	0	0	0	0
ASV_238	0	0	0	0	7	0	14	6	9	0	0	0	0	0
ASV_239	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_242	7	7	8	7	1	0	0	2	0	0	1	0	0	2
ASV_243	6	5	6	8	3	3	1	0	3	0	0	0	0	0
ASV_244	0	1	2	2	0	0	0	0	0	4	5	6	5	10
ASV_245	0	0	0	0	12	5	13	2	3	0	0	0	0	0
ASV_246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_247	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_248	0	0	0	0	11	3	5	6	9	0	0	0	0	0
ASV_249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_251	3	1	0	3	1	0	0	0	1	3	5	4	10	2
ASV_252	3	7	0	0	0	0	0	0	0	5	6	0	7	5
ASV_253	0	0	0	0	6	4	11	4	8	0	0	0	0	0
ASV_254	0	0	0	0	0	6	9	6	12	0	0	0	0	0
ASV_255	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_256	5	4	4	0	2	2	2	0	0	1	0	6	5	0
ASV_257	0	0	0	0	6	5	6	2	12	0	0	0	0	0
ASV_258	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_261	10	5	5	7	0	1	0	0	0	0	0	0	1	1
ASV_262	7	8	4	7	0	1	0	0	3	0	0	0	0	0
ASV_263	1	0	2	3	0	1	0	1	20	0	0	0	0	2
ASV_264	1	5	6	0	2	6	8	0	2	0	0	0	0	0
ASV_265	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_267	6	5	2	6	1	4	0	3	2	0	0	0	0	0
ASV_268	0	4	4	0	0	0	1	4	4	0	2	2	2	5
ASV_269	0	0	0	0	3	4	8	5	7	0	0	0	0	1
ASV_270	0	0	0	0	0	0	0	0	0	4	2	5	12	5
ASV_271	9	4	4	6	0	0	0	0	0	0	0	0	2	2
ASV_272	6	8	5	8	0	0	0	0	0	0	0	0	0	0
ASV_273	5	7	4	11	0	0	0	0	0	0	0	0	0	0
ASV_274	3	3	2	0	0	0	4	0	3	3	2	2	3	2
ASV_275	0	0	1	0	10	9	1	2	4	0	0	0	0	0
ASV_276	6	5	10	3	0	0	0	1	0	0	0	0	0	1
ASV_277	0	0	0	0	1	3	12	4	6	0	0	0	0	0
ASV_278	0	0	0	0	0	0	0	0	0	3	5	8	3	6
ASV_279	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_281	5	3	2	2	0	3	1	2	6	0	0	0	0	0
ASV_282	4	3	0	4	0	2	9	0	0	0	0	0	0	2
ASV_283	4	0	3	7	0	0	0	0	1	0	4	0	3	2
ASV_284	0	0	0	1	0	0	0	0	0	2	0	4	8	9
ASV_285	0	0	0	0	0	0	2	0	0	0	0	5	10	7
ASV_286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_288	7	3	1	2	4	0	0	0	4	0	1	0	0	0
ASV_289	2	0	4	0	0	0	0	0	0	0	5	5	4	2
ASV_290	0	0	0	2	4	1	12	1	0	0	2	0	0	0
ASV_291	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_292	9	4	4	0	0	0	0	0	2	0	0	0	0	2
ASV_293	6	2	9	4	0	0	0	0	0	0	0	0	0	0
ASV_294	3	6	2	0	2	2	3	0	3	0	0	0	0	0
ASV_295	1	5	0	3	2	2	3	2	2	0	0	0	0	1
ASV_296	0	0	0	0	1	1	0	0	0	3	3	8	3	2
ASV_297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_298	2	6	0	2	0	2	4	0	0	3	0	1	0	0
ASV_299	0	0	5	0	0	0	0	0	0	0	7	0	8	0
ASV_300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_301	0	0	0	0	0	7	8	0	4	0	0	0	0	0
ASV_302	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_303	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_304	0	0	0	3	2	1	4	2	1	2	0	1	2	0
ASV_305	0	0	0	1	1	9	0	7	0	0	0	0	0	0
ASV_306	0	0	0	0	0	0	18	0	0	0	0	0	0	0
ASV_307	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_308	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_310	7	5	0	3	0	0	1	0	0	1	0	0	0	0
ASV_311	3	5	3	0	0	0	2	1	0	1	0	1	1	0
ASV_312	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV_313	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_314	1	4	7	4	0	0	0	0	0	0	0	0	0	0
ASV_315	0	0	0	1	0	0	0	0	0	3	0	2	6	4
ASV_316	0	0	0	0	1	0	1	0	1	1	0	1	6	5
ASV_317	3	4	6	0	2	0	0	0	0	0	0	0	0	0
ASV_318	1	0	2	0	0	6	2	1	3	0	0	0	0	0
ASV_319	1	1	1	1	0	0	3	0	0	0	0	1	5	2
ASV_320	0	0	0	0	0	0	0	0	0	5	1	5	3	1
ASV_321	0	0	0	0	0	0	0	0	0	2	3	5	0	5
ASV_322	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_323	4	4	3	0	0	0	0	3	0	0	0	0	0	0
ASV_324	0	0	5	0	0	3	3	0	2	0	0	0	0	1
ASV_325	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV_326	0	0	0	0	13	0	0	0	0	0	0	0	0	0
ASV_327	0	0	0	0	0	3	6	2	2	0	0	0	0	0
ASV_328	0	0	0	0	0	0	5	2	5	1	0	0	0	0
ASV_330	3	1	6	2	0	0	0	0	0	0	0	0	0	0
ASV_331	1	3	0	0	0	0	0	0	0	1	2	4	0	1
ASV_332	0	3	0	4	0	5	0	0	0	0	0	0	0	0
ASV_333	0	0	0	12	0	0	0	0	0	0	0	0	0	0
ASV_334	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ASV_335	0	0	0	0	0	0	0	0	0	12	0	0	0	0
ASV_336	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ASV_337	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ASV_338	6	0	1	0	0	4	0	0	0	0	0	0	0	0
ASV_339	0	0	1	1	1	3	0	1	0	1	0	0	2	1
ASV_340	0	0	0	11	0	0	0	0	0	0	0	0	0	0
ASV_341	0	0	0	0	11	0	0	0	0	0	0	0	0	0
ASV_342	0	0	0	0	11	0	0	0	0	0	0	0	0	0
ASV_343	0	0	0	0	0	4	0	0	7	0	0	0	0	0
ASV_344	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_345	5	0	1	2	0	0	2	0	0	0	0	0	0	0
ASV_346	3	0	4	1	0	2	0	0	0	0	0	0	0	0
ASV_347	2	0	4	0	0	0	0	0	0	3	0	0	1	0
ASV_348	1	6	3	0	0	0	0	0	0	0	0	0	0	0
ASV_349	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ASV_350	0	0	3	6	0	0	0	0	0	0	0	0	1	0
ASV_351	0	0	0	0	2	1	5	2	0	0	0	0	0	0
ASV_352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_353	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_354	5	1	0	0	0	0	0	0	0	1	0	0	0	2
ASV_355	2	4	3	0	0	0	0	0	0	0	0	0	0	0
ASV_356	0	0	5	0	0	1	3	0	0	0	0	0	0	0
ASV_357	0	0	1	2	2	0	2	0	0	0	0	1	0	1
ASV_358	0	0	0	0	2	3	2	1	1	0	0	0	0	0
ASV_359	0	0	0	0	0	5	3	0	0	1	0	0	0	0
ASV_360	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_362	3	1	2	2	0	0	0	0	0	0	0	0	0	0
ASV_363	0	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_364	0	0	0	8	0	0	0	0	0	0	0	0	0	0
ASV_365	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ASV_366	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ASV_367	0	0	0	0	3	1	2	1	1	0	0	0	0	0
ASV_368	0	0	0	0	0	8	0	0	0	0	0	0	0	0
ASV_369	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_370	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_371	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_372	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ASV_373	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_374	0	0	0	0	0	0	0	0	0	0	0	0	0	0
